Вакансия,Работодатель,Зарплата,Ссылка
Специалист первой линии технической поддержки сотрудников,ООО МАГ Девелопмент,60 000 – 85 000 ₽ на рукиОпыт 1-3 года,https://tomsk.hh.ru/vacancy/108117316?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Engineering & Manufacturing Intern / Стажер производственного подразделения,ООО Procter&Gamble - Новомосковск,от 100 000 ₽ до вычета налоговБез опыта,https://tomsk.hh.ru/vacancy/107465989?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1с,"ООО ОЙЛТИМ, Компания",Опыт 1-3 года,https://tomsk.hh.ru/vacancy/114769621?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С / Аналитик 1С,ООО ТрансСервис,100 000 – 150 000 ₽ на рукиОпыт 3-6 лет,https://tomsk.hh.ru/vacancy/114941806?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Logistics intern / Стажер дистрибьюторского центра,ООО Procter&Gamble - Новомосковск,от 100 000 ₽ до вычета налоговБез опыта,https://tomsk.hh.ru/vacancy/102427726?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий разработчик 1С:ERP (Томск),ООО ИТ-Элемент29,Без опыта,https://tomsk.hh.ru/vacancy/110627773?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Администратор сайта,Фабрика мебели Витра,58 500 – 76 000 ₽ на рукиОпыт 1-3 года,https://tomsk.hh.ru/vacancy/112966649?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Аккаунт-менеджер,uniSiter,55 000 – 80 000 ₽ на рукиОпыт 1-3 года,https://tomsk.hh.ru/vacancy/114664027?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Java-разработчик (Team Lead),Sibedge,Опыт 3-6 летМожно удалённо,https://tomsk.hh.ru/vacancy/114970366?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
PHP-разработчик в офис без удаленки,ТУСУР,от 80 000 ₽ на рукиОпыт 3-6 лет,https://tomsk.hh.ru/vacancy/111405409?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
1С разработчик,ООО Алеф,Опыт 1-3 года,https://tomsk.hh.ru/vacancy/114157799?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Специалист по встраиваемым системам (Embedded developer),Алабуга. Проектный менеджмент,от 120 000 ₽ до вычета налоговОпыт 1-3 года,https://tomsk.hh.ru/vacancy/114921878?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Middle C# разработчик,Антереал,Опыт 3-6 лет,https://tomsk.hh.ru/vacancy/112044999?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
C# разработчик (WPF),Антереал,Опыт 3-6 лет,https://tomsk.hh.ru/vacancy/105285346?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-электроник,ГУ МЧС России по Томской области,31 000 – 35 000 ₽ до вычета налоговБез опыта,https://tomsk.hh.ru/vacancy/114909685?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Специалист письменной поддержки (со знанием турецкого языка),Яндекс Крауд: Поддержка,от 35 000 ₽ на рукиБез опытаМожно удалённо,https://tomsk.hh.ru/vacancy/114959025?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Web-программист PHP,Томский государственный педагогический университет,40 000 – 80 000 ₽ на рукиОпыт 1-3 года,https://tomsk.hh.ru/vacancy/114294803?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Консультант - аналитик 1С,ООО Производственно-экспортная компания ЭПТ,Опыт 1-3 годаМожно удалённо,https://tomsk.hh.ru/vacancy/114674381?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Архитектор группы УЦП,"ООО Удоканская медь, Информационные технологии и автоматизированные системы",Опыт 3-6 летМожно удалённо,https://tomsk.hh.ru/vacancy/114668257?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
